26.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 1분기 연결,26.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 2분기 연결,26.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2026년 누적,2026년 전분기 누적,2026년 3분기 연결,26.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2026년 누적,2026년 전분기 누적,2026년 4분기 연결
외화환산이익,"10,317,549,428",0,0,0,0,0,0,"10,317,549,428",1570000000,,"8,747,549,428",,"8,747,549,428",외화환산이익,,,,,,,,,,,,,,외화환산이익,,,,,,,,,,,,,,외화환산이익,,,,,,,,,,,,,
외환차익,"9,517,515,443",115787,"24,587,497","53,026",0,"91,100",0,"9,542,362,853",,,"9,542,362,853",,"9,542,362,853",외환차익,,,,,,,,,,,,,,외환차익,,,,,,,,,,,,,,외환차익,,,,,,,,,,,,,
배당금수익,0,0,0,0,0,0,0,0,0,,0,,0,배당금수익,,,,,,,,,,,,,,배당금수익,,,,,,,,,,,,,,배당금수익,,,,,,,,,,,,,
대손충당금환입,"20,260,831",0,0,0,0,0,0,"20,260,831",0,,"20,260,831",,"20,260,831",대손충당금환입,,,,,,,,,,,,,,대손충당금환입,,,,,,,,,,,,,,대손충당금환입,,,,,,,,,,,,,
무형자산손상차손환입,0,0,0,0,0,0,0,0,,,0,,0,무형자산손상차손환입,,,,,,,,,,,,,,무형자산손상차손환입,,,,,,,,,,,,,,무형자산손상차손환입,,,,,,,,,,,,,
투자부동산처분이익,1.04195E+11,0,0,0,0,0,0,1.04195E+11,,,1.04195E+11,,1.04195E+11,투자부동산처분이익,,,,,,,,,,,,,,투자부동산처분이익,,,,,,,,,,,,,,투자부동산처분이익,,,,,,,,,,,,,
유형자산처분이익,6321319,0,0,0,0,0,0,6321319,,,6321319,,6321319,유형자산처분이익,,,,,,,,,,,,,,유형자산처분이익,,,,,,,,,,,,,,유형자산처분이익,,,,,,,,,,,,,
무형자산처분이익,0,0,0,0,0,0,0,0,,,0,,0,무형자산처분이익,,,,,,,,,,,,,,무형자산처분이익,,,,,,,,,,,,,,무형자산처분이익,,,,,,,,,,,,,
금융보증부채환입액,0,0,0,0,0,0,0,0,,,0,,0,금융보증부채환입액,,,,,,,,,,,,,,금융보증부채환입액,,,,,,,,,,,,,,금융보증부채환입액,,,,,,,,,,,,,
잡이익,"363,801,679","85,587,103","19,097,635",-1220,0,"3,396","335,753,519","804,242,112","-123,625",0,"804,365,737",,"804,365,737",잡이익,,,,,,,,,,,,,,잡이익,,,,,,,,,,,,,,잡이익,,,,,,,,,,,,,
단기매매증권평가이익,0,0,0,0,0,0,0,0,,,0,,0,단기매매증권평가이익,,,,,,,,,,,,,,단기매매증권평가이익,,,,,,,,,,,,,,단기매매증권평가이익,,,,,,,,,,,,,
단기매매증권처분이익,0,0,0,0,0,0,0,0,,,0,,0,단기매매증권처분이익,,,,,,,,,,,,,,단기매매증권처분이익,,,,,,,,,,,,,,단기매매증권처분이익,,,,,,,,,,,,,
파생상품평가이익,0,0,0,0,0,0,0,0,,,0,,0,파생상품평가이익,,,,,,,,,,,,,,파생상품평가이익,,,,,,,,,,,,,,파생상품평가이익,,,,,,,,,,,,,
당기손익-공정가치측정금융자산 평가이익,63938250,0,0,0,0,0,0,63938250,,,63938250,,63938250,당기손익-공정가치측정금융자산 평가이익,,,,,,,,,,,,,,당기손익-공정가치측정금융자산 평가이익,,,,,,,,,,,,,,당기손익-공정가치측정금융자산 평가이익,,,,,,,,,,,,,
당기손익인식금융자산처분이익,0,0,0,0,0,0,0,0,,,0,,0,당기손익인식금융자산처분이익,,,,,,,,,,,,,,당기손익인식금융자산처분이익,,,,,,,,,,,,,,당기손익인식금융자산처분이익,,,,,,,,,,,,,
파생상품거래이익,0,0,0,0,0,0,0,0,,,0,,0,파생상품거래이익,,,,,,,,,,,,,,파생상품거래이익,,,,,,,,,,,,,,파생상품거래이익,,,,,,,,,,,,,
지분법이익,0,0,0,0,0,0,0,0,,,0,,0,지분법이익,,,,,,,,,,,,,,지분법이익,,,,,,,,,,,,,,지분법이익,,,,,,,,,,,,,
관계기업투자주식처분이익,0,0,0,0,0,0,0,0,0,0,0,,0,관계기업투자주식처분이익,,,,,,,,,,,,,,관계기업투자주식처분이익,,,,,,,,,,,,,,관계기업투자주식처분이익,,,,,,,,,,,,,
종속기업투자주식처분이익,0,0,0,0,0,0,0,0,,0,0,,0,종속기업투자주식처분이익,,,,,,,,,,,,,,종속기업투자주식처분이익,,,,,,,,,,,,,,종속기업투자주식처분이익,,,,,,,,,,,,,
Ⅶ.영업외비용,"8,332,128,592","1,453,652,951","184,087,899","1,948,449",0,"298,752,485","2,286,801,331","12,557,371,707",,,"12,424,856,071",,"12,424,856,071",Ⅶ.영업외비용,,,,,,,,,,,,,,Ⅶ.영업외비용,,,,,,,,,,,,,,Ⅶ.영업외비용,,,,,,,,,,,,,
이자비용,"1,569,179,685","1,379,989,611","165,215,732",0,0,"298,677,214","523,655,012","3,936,717,254",,"879,863,335","3,056,853,919",,"3,056,853,919",이자비용,,,,,,,,,,,,,,이자비용,,,,,,,,,,,,,,이자비용,,,,,,,,,,,,,
외화환산손실,"1,670,475,512",0,0,0,0,0,"1,527,247,190","3,197,722,702",,0,"3,197,722,702",,"3,197,722,702",외화환산손실,,,,,,,,,,,,,,외화환산손실,,,,,,,,,,,,,,외화환산손실,,,,,,,,,,,,,
외환차손,"3,762,626,958",-76,"18,640,533","1,948,449",0,"75,268","49,066,116","3,832,357,248",-1437909,,"3,830,919,339",,"3,830,919,339",외환차손,,,,,,,,,,,,,,외환차손,,,,,,,,,,,,,,외환차손,,,,,,,,,,,,,
기타의대손상각비,0,0,0,0,0,0,0,0,,0,0,,0,기타의대손상각비,,,,,,,,,,,,,,기타의대손상각비,,,,,,,,,,,,,,기타의대손상각비,,,,,,,,,,,,,
금융보증비용,0,0,0,0,0,0,0,0,,,0,,0,금융보증비용,,,,,,,,,,,,,,금융보증비용,,,,,,,,,,,,,,금융보증비용,,,,,,,,,,,,,
기타의금융수수료,0,0,0,0,0,0,0,0,,,0,,0,기타의금융수수료,,,,,,,,,,,,,,기타의금융수수료,,,,,,,,,,,,,,기타의금융수수료,,,,,,,,,,,,,
무형자산폐기손실,87796919,0,0,0,0,0,0,87796919,,,87796919,,87796919,무형자산폐기손실,,,,,,,,,,,,,,무형자산폐기손실,,,,,,,,,,,,,,무형자산폐기손실,,,,,,,,,,,,,
무형자산손상차손,0,0,0,0,0,0,0,0,,,0,,0,무형자산손상차손,,,,,,,,,,,,,,무형자산손상차손,,,,,,,,,,,,,,무형자산손상차손,,,,,,,,,,,,,
재고자산폐기손실,0,0,0,0,0,0,0,0,,,0,,0,재고자산폐기손실,,,,,,,,,,,,,,재고자산폐기손실,,,,,,,,,,,,,,재고자산폐기손실,,,,,,,,,,,,,
유형자산처분손실,0,"73,275,253",0,0,0,0,0,"73,275,253",,,"73,275,253",,"73,275,253",유형자산처분손실,,,,,,,,,,,,,,유형자산처분손실,,,,,,,,,,,,,,유형자산처분손실,,,,,,,,,,,,,
유형자산폐기손실,"939,174,693",0,0,0,0,0,0,"939,174,693",,,"939,174,693",,"939,174,693",유형자산폐기손실,,,,,,,,,,,,,,유형자산폐기손실,,,,,,,,,,,,,,유형자산폐기손실,,,,,,,,,,,,,
유형자산손상차손,0,0,0,0,0,0,0,0,,,0,,0,유형자산손상차손,,,,,,,,,,,,,,유형자산손상차손,,,,,,,,,,,,,,유형자산손상차손,,,,,,,,,,,,,
무형자산처분손실,0,0,0,0,0,0,0,0,,,0,,0,무형자산처분손실,,,,,,,,,,,,,,무형자산처분손실,,,,,,,,,,,,,,무형자산처분손실,,,,,,,,,,,,,
기부금,"2,122,186",0,0,0,0,0,0,"2,122,186",,,"2,122,186",,"2,122,186",기부금,,,,,,,,,,,,,,기부금,,,,,,,,,,,,,,기부금,,,,,,,,,,,,,
지분법손실,0,0,0,0,0,0,0,0,"759,360,086",,"759,360,086",,"759,360,086",지분법손실,,,,,,,,,,,,,,지분법손실,,,,,,,,,,,,,,지분법손실,,,,,,,,,,,,,
파생상품평가손실,0,0,0,0,0,0,0,0,,,0,,0,파생상품평가손실,,,,,,,,,,,,,,파생상품평가손실,,,,,,,,,,,,,,파생상품평가손실,,,,,,,,,,,,,
파생상품거래손실,0,0,0,0,0,0,0,0,,,0,,0,파생상품거래손실,,,,,,,,,,,,,,파생상품거래손실,,,,,,,,,,,,,,파생상품거래손실,,,,,,,,,,,,,
잡손실,"153,807,086","388,163","231,634",0,0,3,"186,833,013","341,259,899",,"10,574,478","330,685,421",,"330,685,421",잡손실,,,,,,,,,,,,,,잡손실,,,,,,,,,,,,,,잡손실,,,,,,,,,,,,,
소송충당부채전입액,,,,,0,,0,0,,,0,,0,소송충당부채전입액,,,,,,,,,,,,,,소송충당부채전입액,,,,,,,,,,,,,,소송충당부채전입액,,,,,,,,,,,,,
당기손익-공정가치측정금융자산 평가손실,"103,702,353",0,0,0,0,0,0,"103,702,353",,,"103,702,353",,"103,702,353",당기손익-공정가치측정금융자산 평가손실,,,,,,,,,,,,,,당기손익-공정가치측정금융자산 평가손실,,,,,,,,,,,,,,당기손익-공정가치측정금융자산 평가손실,,,,,,,,,,,,,
종속기업처분손실,0,,,,,,0,0,,,0,,0,종속기업처분손실,,,,,,,,,,,,,,종속기업처분손실,,,,,,,,,,,,,,종속기업처분손실,,,,,,,,,,,,,
당기손익인식금융자산처분손실,"43,243,200",0,0,0,0,0,0,"43,243,200",,,"43,243,200",,"43,243,200",당기손익인식금융자산처분손실,,,,,,,,,,,,,,당기손익인식금융자산처분손실,,,,,,,,,,,,,,당기손익인식금융자산처분손실,,,,,,,,,,,,,
Ⅷ.법인세비용차감전순이익,"217,713,800,286","9,461,937,038","1,020,194,241","18,388,574",0,"-1,345,729,831","-1,557,766,616","225,310,823,692",,,"267,012,142,525",,"267,012,142,525",Ⅷ.법인세비용차감전순이익,,,,,,,,,,,,,,Ⅷ.법인세비용차감전순이익,,,,,,,,,,,,,,Ⅷ.법인세비용차감전순이익,,,,,,,,,,,,,
Ⅸ.법인세비용,"57,509,200,458","2,378,140,379","225,120,535",0,0,"-14,139,578","108,788,130","60,207,109,924","10,972,757,890","154,222,963","71,025,644,851",,"71,025,644,851",Ⅸ.법인세비용,,,,,,,,,,,,,,Ⅸ.법인세비용,,,,,,,,,,,,,,Ⅸ.법인세비용,,,,,,,,,,,,,
 계속사업손익,"160,204,599,828","7,083,796,659","795,073,706","18,388,574",0,"-1,331,590,253","-1,666,554,746","165,103,713,768",0,,"195,986,497,675",,"195,986,497,675", 계속사업손익,,,,,,,,,,,,,, 계속사업손익,,,,,,,,,,,,,, 계속사업손익,,,,,,,,,,,,,
 중단사업손익,0,0,0,0,0,,0,0,,,0,,0, 중단사업손익,,,,,,,,,,,,,, 중단사업손익,,,,,,,,,,,,,, 중단사업손익,,,,,,,,,,,,,
Ⅹ.당기순이익,"160,204,599,828","7,083,796,659","795,073,706","18,388,574",0,"-1,331,590,253","-1,666,554,746","165,103,713,768","421,282,022,894","452,164,806,800","195,986,497,675",,"195,986,497,675",Ⅹ.당기순이익,,,,,,,,,,,,,,Ⅹ.당기순이익,,,,,,,,,,,,,,Ⅹ.당기순이익,,,,,,,,,,,,,
   지배지분,"160,204,599,828","7,083,796,659","795,073,706","18,388,574",0,"-1,331,590,253","-1,666,554,746","165,103,713,768",0,,"195,986,497,675",,"195,986,497,675",   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,
   비지배지분,0,0,0,0,0,,0,0,0,,0,,0,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,
기타포괄손익:,"124,347,537","7,892,424,165","313,745,345","4,885,398",0,"6,499,193","4,310,269,351","12,652,170,989",,,"2,728,643,264",,"2,728,643,264",기타포괄손익:,,,,,,,,,,,,,,기타포괄손익:,,,,,,,,,,,,,,기타포괄손익:,,,,,,,,,,,,,
매도가능금융자산평가손익,,0,0,0,,,0,0,,,0,,0,매도가능금융자산평가손익,,,,,,,,,,,,,,매도가능금융자산평가손익,,,,,,,,,,,,,,매도가능금융자산평가손익,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
자산재평가이익,,0,0,0,,,0,0,,,0,,0,자산재평가이익,,,,,,,,,,,,,,자산재평가이익,,,,,,,,,,,,,,자산재평가이익,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
보험수리적손익,"168,037,212",0,0,0,,"8,332,299",0,"176,369,511",,,"176,369,511",,"176,369,511",보험수리적손익,,,,,,,,,,,,,,보험수리적손익,,,,,,,,,,,,,,보험수리적손익,,,,,,,,,,,,,
법인세효과,"-43,689,675",0,0,0,,"-1,833,106",0,"-45,522,781",,,"-45,522,781",,"-45,522,781",법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,"124,347,537",0,0,0,0,"6,499,193",0,"130,846,730",,,"130,846,730",,"130,846,730",법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
지분법자본변동,,0,0,0,,,0,0,,,0,,0,지분법자본변동,,,,,,,,,,,,,,지분법자본변동,,,,,,,,,,,,,,지분법자본변동,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
지분법이익잉여금,,0,0,0,,,0,0,,,,,0,지분법이익잉여금,,,,,,,,,,,,,,지분법이익잉여금,,,,,,,,,,,,,,지분법이익잉여금,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,0,0,0,0,0,0,0,,,0,,0,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
해외사업장환산차이,,"7,892,424,165","313,745,345","4,885,398",,,"4,310,269,351","12,521,324,259","22,788,279,570","12,864,751,845","2,597,796,534",,"2,597,796,534",해외사업장환산차이,,,,,,,,,,,,,,해외사업장환산차이,,,,,,,,,,,,,,해외사업장환산차이,,,,,,,,,,,,,
법인세효과,,0,0,0,,,0,0,,,0,,0,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,,법인세효과,,,,,,,,,,,,,
법인세효과 차감후 금액,,"7,892,424,165","313,745,345","4,885,398",0,0,"4,310,269,351","12,521,324,259",,,"2,597,796,534",,"2,597,796,534",법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,,법인세효과 차감후 금액,,,,,,,,,,,,,
총포괄이익,"160,328,947,365","14,976,220,824","1,108,819,051","23,273,972",0,"-1,325,091,060","2,643,714,605","177,755,884,757",,,"198,715,140,939",,"198,715,140,939",총포괄이익,,,,,,,,,,,,,,총포괄이익,,,,,,,,,,,,,,총포괄이익,,,,,,,,,,,,,
   지배지분,"160,328,947,365","14,976,220,824","1,108,819,051","23,273,972",0,"-1,325,091,060","2,643,714,605","177,755,884,757",0,0,"198,715,140,939",,"198,715,140,939",   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,,   지배지분,,,,,,,,,,,,,
   비지배지분,0,0,0,0,0,0,0,0,0,,0,,0,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,,   비지배지분,,,,,,,,,,,,,
